,name,salary_from,salary_to,salary_currency,area_name,published_at
0,Системный администратор,43800.0,,RUR,Ярославль,2022-12-23T09:38:20+0300
1,"QA инженер (Новая Афина, Цифровая ипотека)",,,,Москва,2022-12-23T09:28:12+0300
2,"Middle/Senior Frontend Developer (TypeScript, React)",,,,Москва,2022-12-23T10:10:20+0300
3,Системный администратор,65000.0,70000.0,RUR,Москва,2022-12-23T11:29:27+0300
4,Технический лидер Стрима,,,,Москва,2022-12-23T09:45:34+0300
5,Механик-наладчик производственного оборудования,50000.0,,RUR,Ростов-на-Дону,2022-12-23T10:03:40+0300
6,Инженер по сопровождению информационных систем (техническая поддержка портала),,,,Пенза,2022-12-23T09:11:04+0300
7,Ведущий консультант SAP (MM),,,,Ижевск,2022-12-23T09:45:30+0300
8,Аналитик,,,,Москва,2022-12-23T09:27:11+0300
9,Руководитель технических проектов клиентского опыта в Маркет,,,,Москва,2022-12-23T11:41:52+0300
10,Мастер участка по ремонту спецтехники,60000.0,,RUR,Самара,2022-12-23T07:36:48+0300
11,Специалист 2 категории отдел поддержки пользователей дирекции информационных технологий,40000.0,40000.0,RUR,Тула,2022-12-23T09:02:27+0300
12,Оператор ЧПУ на лазерный станок,50000.0,70000.0,RUR,Новочебоксарск,2022-12-23T09:53:18+0300
13,Менеджер проектов BD,,,,Москва,2022-12-23T11:53:42+0300
14,Технический специалист (интернет-трансляции),40000.0,,RUR,Санкт-Петербург,2022-12-23T11:11:19+0300
15,Менеджер по продукту (светотехническая продукция),,,,Москва,2022-12-23T11:31:45+0300
16,Сервисный инженер,50000.0,,RUR,Тамбов,2022-12-23T10:10:15+0300
17,Руководитель ECM платформы,,,,Москва,2022-12-23T11:28:23+0300
18,Бизнес-аналитик (Культура и бизнес),,,,Москва,2022-12-23T10:32:15+0300
19,Backend Developer RoR,150000.0,200000.0,RUR,Челябинск,2022-12-23T08:46:43+0300
20,Токарь,,,,Тамбов,2022-12-23T11:41:20+0300
21,Начальник ИТ-отдела,,,,Москва,2022-12-23T09:05:42+0300
22,Руководитель проектов,,,,Кемерово,2022-12-23T09:32:31+0300
23,Полировщик,,,,Калуга,2022-12-23T11:02:44+0300
24,Техник,60000.0,70000.0,RUR,Москва,2022-12-23T11:54:39+0300
25,Аналитик данных (Data Office),,,,Москва,2022-12-23T10:10:03+0300
26,Ведущий специалист поддержки пользователей,,,,Мирный (Республика Саха (Якутия)),2022-12-23T10:39:37+0300
27,Дизайнер коммуникаций,,,,Москва,2022-12-23T11:08:55+0300
28,Аналитик качества данных,,,,Санкт-Петербург,2022-12-23T10:19:32+0300
29,Гейм-дизайнер (Whalekit),,,,Армения,2022-12-23T10:39:35+0300
30,Начинающий специалист,30000.0,,RUR,Волово,2022-12-23T09:52:50+0300
31,Слесарь по ремонту и обслуживанию спецтехники,60000.0,80000.0,RUR,Нижний Новгород,2022-12-23T09:03:09+0300
32,Инженер,50000.0,50000.0,RUR,Уфа,2022-12-23T10:15:49+0300
